city_host,year,edition,lat,long,discipline_title,event_title,event_gender,medal_type,participant_type,athlete_url,athlete_full_name,country_name,country_code,country_3letter_code
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,GOLD,GameTeam,https://olympics.com/en/athletes/stefania-constantini,Stefania CONSTANTINI,Italy,IT,ITA
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,GOLD,GameTeam,https://olympics.com/en/athletes/amos-mosaner,Amos MOSANER,Italy,IT,ITA
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,SILVER,GameTeam,https://olympics.com/en/athletes/kristin-skaslien,Kristin SKASLIEN,Norway,NO,NOR
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,SILVER,GameTeam,https://olympics.com/en/athletes/magnus-nedregotten,Magnus NEDREGOTTEN,Norway,NO,NOR
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,BRONZE,GameTeam,https://olympics.com/en/athletes/almida-de-val,Almida DE VAL,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Curling,Mixed Doubles,Mixed,BRONZE,GameTeam,https://olympics.com/en/athletes/oskar-eriksson,Oskar ERIKSSON,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Curling,Women,Women,GOLD,GameTeam,,,Great Britain,GB,GBR
beijing,2022,Winter,39.916668,116.383331,Curling,Women,Women,SILVER,GameTeam,,,Japan,JP,JPN
beijing,2022,Winter,39.916668,116.383331,Curling,Women,Women,BRONZE,GameTeam,,,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Curling,Men,Men,GOLD,GameTeam,,,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Curling,Men,Men,SILVER,GameTeam,,,Great Britain,GB,GBR
beijing,2022,Winter,39.916668,116.383331,Curling,Men,Men,BRONZE,GameTeam,,,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Moguls,Men,SILVER,Athlete,https://olympics.com/en/athletes/mikael-kingsbury,Mikael KINGSBURY,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Moguls,Men,GOLD,Athlete,https://olympics.com/en/athletes/wallberg,Walter WALLBERG,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Moguls,Men,BRONZE,Athlete,https://olympics.com/en/athletes/ikuma-horishima,Ikuma HORISHIMA,Japan,JP,JPN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Halfpipe,Men,GOLD,Athlete,https://olympics.com/en/athletes/nico-porteous,Nico PORTEOUS,New Zealand,NZ,NZL
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Halfpipe,Men,SILVER,Athlete,https://olympics.com/en/athletes/david-wise,David WISE,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Halfpipe,Men,BRONZE,Athlete,https://olympics.com/en/athletes/alex-ferreira,Alex FERREIRA,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Big Air,Men,BRONZE,Athlete,https://olympics.com/en/athletes/henrik-harlaut,Henrik HARLAUT,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Big Air,Men,GOLD,Athlete,https://olympics.com/en/athletes/birk-ruud,Birk RUUD,Norway,NO,NOR
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Big Air,Men,SILVER,Athlete,https://olympics.com/en/athletes/colby-stevenson,Colby STEVENSON,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Ski Cross,Men,BRONZE,Athlete,https://olympics.com/en/athletes/sergey-ridzik-1,Sergey RIDZIK,ROC,ROC,ROC
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Ski Cross,Men,SILVER,Athlete,https://olympics.com/en/athletes/alex-fiva,Alex FIVA,Switzerland,CH,SUI
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Ski Cross,Men,GOLD,Athlete,https://olympics.com/en/athletes/ryan-regez,Ryan REGEZ,Switzerland,CH,SUI
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Big Air,Women,BRONZE,Athlete,https://olympics.com/en/athletes/mathilde-gremaud,Mathilde GREMAUD,Switzerland,CH,SUI
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Big Air,Women,GOLD,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Big Air,Women,SILVER,Athlete,https://olympics.com/en/athletes/tess-ledeux,Tess LEDEUX,France,FR,FRA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Moguls,Women,SILVER,Athlete,https://olympics.com/en/athletes/kauf,Jaelin KAUF,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Moguls,Women,GOLD,Athlete,https://olympics.com/en/athletes/anthony,Jakara ANTHONY,Australia,AU,AUS
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Moguls,Women,BRONZE,Athlete,https://olympics.com/en/athletes/anastasiia-smirnova,Anastasiia SMIRNOVA,ROC,ROC,ROC
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Mixed Team Aerials,Mixed,GOLD,GameTeam,,,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Mixed Team Aerials,Mixed,SILVER,GameTeam,,,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Mixed Team Aerials,Mixed,BRONZE,GameTeam,,,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Ski Cross,Women,SILVER,Athlete,https://olympics.com/en/athletes/marielle-thompson,Marielle THOMPSON,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Ski Cross,Women,GOLD,Athlete,https://olympics.com/en/athletes/sandra-naeslund,Sandra NAESLUND,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Ski Cross,Women,BRONZE,Athlete,https://olympics.com/en/athletes/daniela-maier,Daniela MAIER,Germany,DE,GER
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Aerials,Men,BRONZE,Athlete,https://olympics.com/en/athletes/ilia-burov,Ilia BUROV,ROC,ROC,ROC
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Aerials,Men,GOLD,Athlete,https://olympics.com/en/athletes/guangpu-qi,Guangpu QI,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Aerials,Men,SILVER,Athlete,https://olympics.com/en/athletes/oleksandr-abramenko,Oleksandr ABRAMENKO,Ukraine,UA,UKR
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Aerials,Women,SILVER,Athlete,https://olympics.com/en/athletes/hanna-huskova,Hanna HUSKOVA,Belarus,BY,BLR
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Aerials,Women,GOLD,Athlete,https://olympics.com/en/athletes/mengtao-xu,Mengtao XU,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Aerials,Women,BRONZE,Athlete,https://olympics.com/en/athletes/megan-nick,Megan NICK,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Halfpipe,Women,SILVER,Athlete,https://olympics.com/en/athletes/cassie-sharpe,Cassie SHARPE,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Halfpipe,Women,GOLD,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Halfpipe,Women,BRONZE,Athlete,https://olympics.com/en/athletes/rachel-karker,Rachel KARKER,Canada,CA,CAN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Slopestyle,Women,SILVER,Athlete,https://olympics.com/en/athletes/gu-ailing-eileen,Ailing Eileen GU,People's Republic of China,CN,CHN
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Slopestyle,Women,GOLD,Athlete,https://olympics.com/en/athletes/mathilde-gremaud,Mathilde GREMAUD,Switzerland,CH,SUI
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Women's Freeski Slopestyle,Women,BRONZE,Athlete,https://olympics.com/en/athletes/kelly-sildaru,Kelly SILDARU,Estonia,EE,EST
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Slopestyle,Men,SILVER,Athlete,https://olympics.com/en/athletes/nicholas-goepper,Nicholas GOEPPER,United States of America,US,USA
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Slopestyle,Men,BRONZE,Athlete,https://olympics.com/en/athletes/jesper-tjader,Jesper TJADER,Sweden,SE,SWE
beijing,2022,Winter,39.916668,116.383331,Freestyle Skiing,Men's Freeski Slopestyle,Men,GOLD,Athlete,https://olympics.com/en/athletes/alexander-hall-1,Alexander HALL,United States of America,US,USA
